Название,Энергия (ккал),Белки (г),Углеводы (г),Жиры (г)
Роллы Филадельфия,153,4,7,23
Хлебцы хрустящие гречневые с витаминами Dr. Körner,280,12,3,52
Чернослив,339,3,0.67,75
Булочка с маком,322,10,8,53
Куриная голень в духовке запеченная,173,16,15,0.6
чай черный с медом,23,0,0,6
Яичный белок сырой,50,11,0.2,0.8
Пюре картофельное с молоком без масла,78,2,1,15
мороженое в вафельном стаканчике,160,4,6,22
Сыр легкий 35% Брест-Литовск,289,31,18,0
Французский багет,265,8,2,51
Форель слабосоленая,202,22,7,0
Яйца куриные жареные без масла,150,12,10,0.7
Яблоко белый налив,47,0.42,0.42,10
Зелень,36,3,0.4,5
Котлета рыбная,172,13,8,13
пельмени со сметаной,188,10,12,1
Макароны с сыром,103,6,7,3
Котлета куриная в духовке,140,17,5,6
Котлеты куриные домашние,141,17,8,0
Тушеная картошка,148,5,9,12
протеиновый коктель Формула 1 Herbalife (Герболайф),390,53,8,24
Щи из свежей капусты с курицей,40,4,1,4
Салат из огурцов и помидоров с растительным маслом,59,0.87,5,5
Нектарин белый,44,1,0.32,11
Кофе латте без сахара,44,3,2,4
спагетти твердые отварные,120,4,0.7,21
Паштет из куриной печени,164,15,10,3
Протеин 100% Whey Protein Gold Standard Optimum Nutrition,372,76,5,5
гречневый суп с курицей,67,5,3,6
торт бисквитно-кремовый,360,5,18,48
Салат айсберг,14,0.9,0.14,3
Крыжовник,49,0.82,0.2,10
квашеная капуста с морковью,19,2,0.07,5
Жареные баклажаны,132,1,8,9
Кус-кус приготовленный,112,4,0.57,22
яблоко зеленое Гренни Смит,48,0.41,0.39,10
Колбаса копченая,420,17,40,2
ветчина с индейкой 3% Империя вкуса Черкизово,83,9,3,5
Serek Wiejski Delikate,99,12,5,2
Сырники из творога 9%,201,14,8,19
Суп грибной с картофелем,45,0.8,4,3
Креветки отварные,111,24,1,0.41
картошка фри средняя Mcdonalds (Макдоналдс),286,3,14,36
Яйцо пашот,143,13,9,0.7
Зефир в шоколаде,378,2,11,71
сметана домашняя 40%,390,2,40,3
Горячие бутерброды,140,6,4,20
картофельные драники,127,3,4,19
Йогурт 1.6% белый густой без сахара без наполнителя Молокия,49,4,2,5
мясо жареное,399,35,29,0
Чипсы картофельные Рифленые со вкусом сметаны и лука Lay's,504,6,30,53
Кефир 2.5% Простоквашино,52,3,2,4
Сыр Фета мягкий 45% Premialle,220,14,16,4
Редиска свежая,24,1,0.14,4
Говядина тушеная,232,17,18,0
яичница из 2 яиц на масле,187,12,15,0.71
Картофель запеченный в духовке с подсолнечным маслом,185,3,10,23
Салат капуста с морковью столовая,60,1,0.1,13
Греческий салат,101,4,7,3
конфета шоколадная белочка,540,8,31,55
яйцо отварное вкрутую,160,13,12,0.8
груша Пакхам,42,0.67,0.17,11
кофе натуральный заварной с сахаром,41,1,1,7
Куриная грудка тушеная,151,29,3,0
Баклажаны тушеные с овощами,37,1,2,5
Рагу из кабачков с овощами,27,0.9,0.2,6
Сыр плавленый Сливочный 55% Hochland,291,10,26,5
Хлебцы хрустящие злаковый коктейль клюквенный Dr. Korner,320,9,2,66
Творог мягкий нежный 5% Савушкин,85,8,5,2
Блинчики с мясом,184,13,8,14
Сок апельсиновый,70,5,0,13
