Название,Энергия (ккал),Белки (г),Углеводы (г),Жиры (г)
Сыр косичка Ellazan,260,22,19,0
кофе Qualitá ORO Lavazza,414,16,10,63
Булочка сдобная с корицей,336,6,15,47
Свинина гриль,166,19,0,22
Смесь Салатная 'Дары природы' с кунжутом,560,22,47,12
Макароны с картошкой жареные,146,3,5,23
Протеин сывороточный WHEY капучино Prime Kraft,402,77,7,8
Молочный коктейль клубника со сливками Молочная Речка,67,3,2,10
Пельмени домашние замороженные со свининой и говядиной Вам,311,7,21,26
Ветчина консервированная Szynka konserwowa Kraina Wędlin,99,18,2,2
Фокачча,248,8,9,36
конфеты жевательные со вкусом фруктов Skittles,404,0,4,91
Майонезный соус легкий Моя цена,155,0,15,6
овсяное молоко 1.5% Vega milk,44,1,2,6
Мороженое эскимо черника-ежевика Рудь,162,2,6,24
Печенье с ароматом топленого молока Слодыч,430,8,14,68
Фасоль белая консервированная натуральная Главпродукт,84,6,0,15
Творог 2% Лакт,103,18,2,3
Рисовый суп без мяса,25,0.3,0.5,5
батончик шоколадный с кусочками печенья Орео Милка Milka,546,6,33,56
Молоко сгущенное 8.5% цельное с сахаром Глубокое,330,7,8,56
Салат со свеклой,72,2,2,11
Хлебцы рисовые с молочным шоколадом Dr. Korner,500,7,24,62
Биопродукт творожно-йогуртный с пищевыми волокнами. с манго. семенами подсолнечника и чиа Активиа Probiotic,97,5,4,11
Гречка с курицей и грибами,118,7,3,15
Рисовая каша на молоке (рис+молоко+вода),106,3,2,18
печенье Мария Бісквіт шоколад,401,8,8,73
конфета Фарс шоколадная нуга Славянка,454,2,19,68
батон Любительский нарезка Хлебодар,246,8,3,52
сушки из цельнозерновой муки Аютинский хлеб,279,11,2,53
печень индейки,228,18,16,2
творог молоко 5% Тольятти,121,16,5,3
Чипсы кукурузные с нежнейшим сыром Nachos Начос Delicados,497,7,25,61
Творожный сыр ВкусВилл,236,8,22,2
Вафельные конфеты 'Коровка' молочная,549,5,33,57
Соус терияки Sen Soy,110,3,0,24
Нагетсы с Сыром Мираторг,219,12,12,16
хлеб богородский ржано-пшеничный Аютинский хлеб,186,6,0.8,39
Кофе еспрессо макиато Dolce Gusto,28,2,0.8,2
Булочка с малиной,365,9,10,58
Хлебцы хрустящие три злака Dr.Korner,290,10,2,58
фундук в молочном шоколаде,554,8,37,51
Горчица Дижонская Торчин,186,6,7,20
хамон Серано тм Сьерра Морена Sierra Morena,241,31,13,0
меренговый десерт,357,8,12,56
желе сметанное. шоколадное Венский Завтрак,210,3,12,22
Протеиновый батончик Protein Bar 33% Chocolate Go On Nutrition,385,33,18,23
конфеты кокосовый пудинг Марсианка,380,4,41,64
Крупа гречневая ядрица калиброванная в пакетиках Prosto,339,13,4,64
Панкейк шоколадный крем Snaq Fabriq Bombbar,221,6,12,20
Ковбаса Варена Молочна Сорт Высший Премия,246,12,22,1
гематоген детский Форте Мясной край,350,6,4,75
печенье затяжное Мария Красная цена,408,8,9,73
Конфеты шоколадные и пралиновые Chocolateria Ассорти Roshen,533,6,34,48
Хлебцы хрустящие 5 злаков MaxiVita,333,8,2,70
Молоко фермерское питьевое ультрапастеризованное 2.5% Ферма,53,3,2,5
Мороженое фундук & шоколад Магнат,353,4,24,29
творог 9% Коровка из Кореновки,157,16,9,3
Курица карри с рисом,167,8,8,15
Натуральные яблочные конфеты Bob Snail,189,1,1,42
карбонат юбилейный,177,15,13,0
Творог 2% рассыпчатый Минская марка,85,16,2,1
Омлет с сыром 3 яйца,247,15,20,0.65
хлеб пшеничный из муки 1 сорта формовой ПК Хлебнаш,240,8,1,47
Торт оригинальный Чизкейк Нью-Йорк Gulfstream,316,6,18,33
пюре картофельное со вкусом курицы Роллтон,411,8,11,68
Вяленая курица,285,60,4,0
Кефир 3.2% Вкуснотеево,57,3,3,4
Газированный напиток буратино Черноголовка,40,0,0,10
шоколад горький Carenero Superior 97.7% Ozera,492,14,47,9
макароны твёрдых сортов пшеницы Stortelli La'pasta,365,13,2,71
Соус медово горчичный,256,0.8,18,23
Элеш с курицей,241,11,14,22
сухарики со вкусом салями Кириешки,399,12,8,71
жвачка с арбузом Five Wrigley´s,158,0,0,64
молоко 3.2% Раница,60,3,4,5
свиной ошеек,267,16,23,0
Молоко 1% Галичина,40,3,1,5
Оливковое масло Exstravergine di Oliva Fra Ulivo,813,0,92,0
Докторская колбаса Владимирский стандарт,210,11,18,0
Савушкин йогурт ананас-маракуйя,84,3,2,14
Колбаса домашняя варёно-копчёная.,334,14,31,0
Хлеб чесночный заварной Караваев,324,12,2,64
коктейль молочный шоколадный Звездной ночью Angelato Милком,73,3,2,11
мороженое Настоящий Пломбир 20% ванильный брикет в вафлях Росфрост,270,4,19,20
Йогурт фруктовый со вкусом клубники Jogobella Zott,91,4,3,12
Мини моцарелла Bonfesto,240,18,18,0
сыр твердый комо старый голандец,338,29,25,0
Капустный салат с маслом,68,2,4,8
кефир 2.5% Коровка из Кореновки,51,3,2,4
кофе натуральный молотый Tchibo Gold Чибо Голд,0,0,0,0
Хлебцы алтайские с клетчаткой,328,10,5,69
Салат Нежность (ветчина. яйца. майонез),217,7,15,10
морковные котлеты,122,6,6,10
рыба хек в томатном соусе,242,30,8,12
соленые зеленые помидоры,20,1,0,4
сыр мягкий Petit Brie с белой плесенью 60% President Президент,353,17,32,0.2
хлеб из льняной мукм,273,29,16,3
Лавандовый раф. кофе,138,2,4,11
Пудинг творожный 4% с ароматом ванили Савушкин продукт,106,6,4,12
Имитированная икра красная особая Царская Европром,30,0,3,1
Айран Классический 2% Злагода,41,2,2,3
салат с ветчиной и сыром,290,12,23,3
шницель куриный рубленый из филе грудки Петелинка,170,17,10,3
Колбаски по-домашнему с чеснком Черкизово,369,14,33,4
Котлета из печени куриной,137,16,6,5
Биойогурт 2.9% яблоко груша амарант Верховье,101,4,3,15
Пицца на сковороде,227,9,13,18
Ряженка печеное яблоко корица,65,3,2,9
Йогурт малина ежевика без сахара Miocrema,69,3,2,9
Батончик Виталад Малина,460,35,25,35
сахарозаменитель Fit,0,0,0,0
Жевательная резинка Сочный Арбуз с ароматом арбуза без сахара Orbit,170,0,0,68
Батончик с кешью Say no Smart formula,410,10,18,51
карамель леденцовая с кофеином и вкусом колы Halls,389,0,0.1,94
Баклажаны в аджике Верес,80,1,5,8
Сметана 25% Брест-Литовск,242,2,25,3
Шоколадные конфеты c молочной начинкой Babyfox-mini,570,8,38,49
Капкейк с кремом,304,4,4,67
Балык Дарницкий Добров,132,17,7,0.4
Протеин Protein Drink 100% Whey Protein Scitec Nutrition,372,73,7,5
курица гриль ашан,184,22,9,1
макароны из твердых сортов пшеницы farfalle n.65 Barilla,359,14,2,70
балык сырокопченый Ремит,140,23,5,1
шашлык в духовке(свиная шейка ),271,11,24,3
Гавайская смесь 4 сезона,120,4,1,25
Сок яблочный Rich,48,0.5,0,11
Огурцы по-корейски,48,1,3,5
Печенье Союзное,423,6,19,58
Витамин C Будь здоров!,250,0,0,30
Шоколад молочный Tidbit с начинкой вишневый Брауни Roshen,395,4,11,68
Куриное филе запеченное в соевом соусе с медом,120,22,3,0.2
Карась отварной,100,21,2,0
подливка из говядины,126,7,7,3
Йогурт и хрустящие шарики со вкусом солёной карамели Даниссимо Фантазия,163,4,9,17
Вивайли вафельные трубочки шоколадные в молочной глазури Витьба,516,6,28,61
сыр Клинковый,170,20,10,0
хлеб 8 злаков,241,5,0.5,53
Кефир Карпатский легкость 0.1% Галичина,29,3,0.1,4
Коктейль вкус карамельная ириска Молочная Речка,67,3,2,10
Сыр сливочный Филадельфия украинская 60% Белоцерковский,260,10,23,4
зефир домашний мой,214,0.5,0,56
Блины с мясом С пылу с Жару,140,6,4,19
хлебцы тонкие хрустящие ржаные Galleti,312,10,2,60
творог отборный 5% Талицкий,121,16,5,3
Напиток слабоалкогольный 8.5% энергетический Рево cherry Revo,98,0,0,10
кефир с массовой долей жира 2.6% Минская марка,53,3,3,4
колобок сардельки с сыром Максимум качества,314,11,30,0
бутерброд с мясом курицы,255,10,14,26
салат курица кукуруза яйцо огурец,153,12,10,4
Индейка голень вареная,144,19,7,0
Банановый кекс пп,152,8,6,15
Чай калмыцкий,429,2,33,31
Мороженое со вкусом лесного ореха Монако Three Bears Три медведя,326,4,24,24
Форель слабосоленая филе кусок Norven,202,22,12,0
Пицца 'ДОДО' мясная,260,13,7,35
зелёный чай Свежесть мохито Липтон Lipton,1,0.1,0,0.1
Хлеб особенный с отрубями Крымхлеб,260,8,3,50
Арахисовая паста без сахара и без глютена Tatis Creamy,557,28,45,10
сосиски прикопченые,256,13,20,5
молоко 5-6% Простоквашино,71,3,4,5
Пиво темное 4.1% Royal cerne Krusovice Крушовице,36,0,0,2
Мороженое пломбир шоколадный 20 копеек Морозпродукт,230,3,15,20
Сыр 45% твердый Голландский брусковый Звени Гора,324,24,25,0
Печенье сахарное Multi Cake с молочно-кремовой начинкой Roshen,490,6,23,64
сырок творожный глазированный Светлогорье,402,9,25,34
Белая буханка Покровский хлеб,236,8,1,48
Протеин Whey Protein Femine клубника Power pro,293,72,0,1
Ежевичное варенье,233,0.19,0.16,56
Гуляш куриный,71,12,2,2
Горошек зеленый консервированный Gusto (Густо),48,5,0.49,4
Пирог с маком,334,8,12,49
сыворотка Свежесть с соком тропических фруктов Савушкин,45,0.4,0,11
Сок гранатовый Наш сок,43,0.1,0,11
Кофейный напиток сухой Ячменный колос,290,10,2,58
Конфеты Аркадия Лукас,357,1,11,66
Смесь семян салатный микс Winway,561,21,49,10
Творог 5% Danke,110,15,5,2
Суп-пюре из кабачка,49,1,3,5
Печенье Choco Boy.,500,8,27,56
Индейка филе в духовке,94,22,0.7,0
Миндальное молоко бариста Nemoloko,25,0.4,1,3
Сырок глазированный с какао и печеньем картошка Моя цена,385,4,25,36
Вафли венские на кефире пп,134,6,2,24
Стрипсы куриные ВкусВилл,243,25,12,8
Крем-суп кабачковый,37,0.8,1,6
Творог нежирный Галичина,84,18,0.4,2
Утиная грудка. без кожи.,145,19,6,0
красный болгарский перец Катарина,27,1,0.3,6
чай в пирамидках черный Caramel Charm Tess,0,0,0,0
рулет из лаваша с творогом и бананом,160,11,4,19
Злаковый батончик с черникой Corny Big Blueberry,389,6,8,72
Гавайская смесь жареная,151,4,5,24
песочная полоска с повидлом,450,5,24,54
Хлеб Петриковский нарезанный 10 хлебозавод,252,7,3,49
Кордон-блю с сыром и ветчиной Ермолино,176,18,12,3
Злаковый батончик с клубникой Corny,371,5,6,71
Лепешка Ляпун пшеничная ВкусВилл,171,5,3,31
Пеленгас жареный,127,23,4,0
Напиток дренажный грин DrainEffect Green NL,380,0,0,94
Напиток овсяный классичесиый экстралайт Nemoloko (Немолоко),36,1,0.5,6
лаваш деревенский Mission,290,8,7,47
плавленый сыр сырная классика со швейцарским сыром Hochland Хохланд,270,10,23,6
Хлебец пшеничный Здоровый Стиль,285,12,2,55
Бисквитный рулет со вкусом сгущенного молока Золотой ключик Roshen Рошен,438,5,22,52
отруби экструдированные овсяные Здоровое Меню,320,15,4,42
пицца Песто Додо,255,11,10,28
Голень Куриная Копчёная,128,16,6,4
шоколад горький 77.7% Bitter Ozera,580,9,47,31
кокосовая паста без сахара,657,1,65,14
свекольник с кефиром,56,4,2,4
Клементины,47,0.9,0.2,12
Трубочки хрустящие Бамбук со вкусом сгущенки АВК,402,10,14,69
"Сок томатный ""Добрый"" с сахаром и солью",22,0,0,6
мороженое эскимо пломбир в апельсиновой глазури Чистая линия,173,2,7,25
Пшёнка вода-молоко,103,4,2,19
Кореяна морковь корейская,121,1,8,11
Сельдь копченая,193,19,13,0
Ягодный морс без сахара,3,0.1,0,0.9
Шоколад молочный с белым шоколадом с начинкой со вкусом ванили и кусочками печенья Oreo Alpen Gold Альпен гольд,539,4,31,61
Напиток Pulpy Палпи тропик Добрый,48,0,0,12
Напиток кофейный растворимый Caramel 3в1 Jacobs,420,2,12,81
сыр здоровье 20%,144,19,7,0
Паштет мясной из печени деревенский егорьевский Егорьевская фабрика,264,12,22,4
Горбуша под сыром с овощами,190,13,14,3
Пицца с морепродуктами,388,31,29,3
Пиво 4.7% светлое пастеризованное 1715 Львівське,40,0,0,4
Сыр мягкий Фета 55% Good Milk,225,7,21,3
сыр росийский особый,333,22,27,0.01
Мороженое в рожке,253,4,13,30
Бездрожжевой лаваш круглый мини Арнаут,209,7,0.8,44
шуба без майонеза,97,6,6,6
Шоколад молочный без сахара Red,368,8,26,42
Довга азербайджанская,51,2,2,7
Сулугуни сыр Свежий ряд,297,24,22,0
Сыр Гауда 50 % жирности,356,25,27,2
Пирожное с начинкой вареная сгущенка Беллакт,395,7,22,41
Молоко 2.5% Сарафаново,52,3,2,5
"Мраморный сыр ""Ласкава""",324,25,25,0
Хлеб полевой Ессентуки,190,8,1,48
Хлеб Урицкий,200,6,1,41
роллы с угрем cafeterra,168,4,4,28
овощи для жарки wok,29,2,0.3,3
пицца с грибами и ветчиной Фора,238,10,10,26
Сыр 50% Фета Good Milk,213,8,19,3
Овсяная каша клубника со вкусом сливок быстрого приготовления Доброе утро,380,11,4,70
Перец болгарский консервированый,33,1,0,5
блинчики с сыром,348,11,18,34
Батончик зерновой с фруктами и орехами Fruits&Hazelnuts Axa,325,6,6,69
холс ассорти,370,0,0,92
майонез 67% провансаль Три 3 желания,617,0.9,67,2
Хлеб Двинский Заварной Аладушкин,280,9,2,55
Хлеб порционный ржаной Аютинский хлеб,223,8,6,35
Торт Спартак,317,4,15,42
Зефир розовый Рошен Roshen,300,1,0.3,72
Вафельная конфета Гулливер,549,5,35,57
Сыр плавленый сливочный Vershkoviy Molendam,222,8,18,7
Пицца Баварская,264,12,13,19
чай зеленый с мелисой. мятой и цедрой апельсина Orange Mint green tea DALAI,0,0,0,0
домашний творог из обрата,136,20,2,7
Кетчуп с чесноком Торчин,103,1,0.2,23
сыр греческий fetica Ecomilk,200,14,14,4
Сыр творожный сливочный Чудское озеро,270,6,26,3
Молоко 2.6% Рогачевъ,53,3,3,5
соус соевый Классический Стебель Бамбука,53,2,0,11
Хачапури по-мегрельски,233,11,14,24
Ватрушка с творогом Коломенская Мастер Пирогов,290,8,8,46
Растительное молоко The original Oatly!,59,1,3,7
"Сахар ""Чуточка"" белый кусковой",400,,,100
Конфеты жевательные Yummi's Roshen,412,0.6,9,83
Конфеты с миндалем в белом шоколаде и кокосовой стружке со вкусом розы Rafaello,615,7,47,39
Булочка с шоколадом Бася,284,6,6,51
Форель вареная,114,15,4,0
Воздушное суфле вкус клубники со сливками Пухлый кролик,307,3,0,84
Пастила неженка Спартак,310,1,0,77
Творожок 4.2% взбитый с наполнителем персик-груша двухярусный Чудо,128,5,4,18
Йогурт клубника 2% Савушкин,88,3,2,14
хлеб ржаной Аладушкин,197,6,1,40
Хлебец белково-злаковый кокосовый крамбл Protein Rex,349,20,15,22
фруктово-ореховый батончик абрикосовый Ол'лайт,382,8,12,57
Кислый мармелад Тяну-ка,360,2,3,81
Макароны рожки Шебекинские,350,13,2,72
Сырок глазированный 15% Вишня Злагода,341,7,17,40
сгущёнка с сахаром 1% Моя Цена,270,2,1,63
максибон,317,4,14,42
Голень куриная,200,19,14,0
Бигус со свининой.,104,5,8,4
Шоколад молочный с цельным миндалем Milka,546,9,34,50
Сыр творожный воздушный свежа sveža Савушкин,216,6,20,3
хлеб пшаничка нарезанный,214,8,0.4,43
Колбаски домашние для гриля Мираторг,180,15,13,1
Блины с яблоком и корицей Хэлси Фуд,162,3,6,25
Отруби ржаные Бородинские DiaDar,190,13,3,27
Сок манго,57,0.2,0.11,15
Резинка жевательная арбузно-дынный коктейль Dirol,170,0.4,0.3,56
напиток сильногазированный Sprite Ice Спрайт Айс,1,0,0,0
Чипсы кукурзные с сыром и ветчиной Читос Cheetos,510,6,24,66
Паровая булочка с курицей ВкусВилл,170,11,5,21
горошек,68,6,0.7,7
хлеб с отруб воскресенский Арнаут,245,8,1,54
котлеты в духовке из индейки,77,13,2,3
Шоколадная крем-паста какао Milimi Chocofini,569,3,39,51
Espresso Nescafé Dolce Gusto,261,8,17,0.2
Кабачок под фаршем и сыром,181,9,15,3
Фасоль белая в томатном соусе Global Village,88,6,0,16
хлебцы цельнозерновые Минские,255,11,2,56
Сырок глазированный 15% на печенье Вишня Дольче,380,7,22,38
Конфеты шоколадные Cherrissimo Classic вишня с ликером Mieszko,427,3,21,56
Шоколад темный и белый два шоколада Alpen Gold Альпен гольд,522,5,28,62
Булочки с плавленым сыром Хлебникова,256,9,7,41
Печенье-сэндвич с какао и начинкой с ароматом ванили Funny Cat,460,6,19,67
Треска на пару,78,17,0.8,0.1
Шоколад соленый миндаль и карамель Alpen Gold,521,6,30,58
Козинак Кунжутный Азовская кондитерская фабрика,540,15,34,44
овсяноблин с творогом,142,13,6,8
Йогурт питьевой с клубникой обезжиренный Epos,62,3,0,13
Кефир густой 1% Молокия Молокія,37,3,1,4
Мини круассаны с клубникой 'Lucky Days',384,5,15,57
Сок 'Сады Придонья' томатный с солью,14,0,0,3
Салат чука из морских водорослей Санта Бремор,140,0.9,12,8
творог обезжиренный Черноморский молокозавод,85,18,0,3
овсянка хлопья с молоком,168,8,8,15
"Хлеб вафельный ""Елизавета"" йод. цинк. железо",362,12,3,73
Томатный суп с базиликом Гербалайф HerbaLife,326,22,2,47
Гречка с луком,145,6,1,29
Напиток безалкогольный негазированный сокосодержащий Safari Fruits Capri-Sun,35,0,0,8
Сосиски лайт Индилайт,170,13,12,2
арахисовая паста хрустящая #102 Crunch Brunch,630,30,50,10
Воппер ролл 'Бургер Кинг' Burger King,221,7,13,18
Торт трюфель BH Baker House,340,4,9,61
ванильный пудинг Чудо,95,2,3,14
Сыр кисломолочный творог 0.2% Хуторок,66,14,0.2,2
80% сывороточный протеин Голиаф Triav nutrition,239,48,2,10
латте Макдональдс,40,7,2,10
Сырок творожный глазированный с наполнителем Тип халва 20% Савушкин,352,6,23,30
Кефир 1.5% Сарафаново,42,3,2,4
Теплый салат с телятиной,103,17,3,2
вино белое,78,0.1,0,3
Мороженое эскимо сливочное с мягкой карамелью и арахисом в молочно-шоколадной глазури Степ,310,6,21,25
Салат Щетка (Метла) без растительного масла,36,2,0.13,7
мороженое в стаканчике пломбир классический Золотой Стандарт,262,4,15,29
"Имбирь ""Розовый"" маринованный Metro",12,1,0,2
творог 1.8% обезжиренный из Углича,101,18,2,3
Хлеб Каменка пшеничная Хлебозавод Нива,180,3,0.6,47
Говядина отборная нарезка Ремит,97,12,5,1
куриный суп с яйцом,41,3,2,3
Куринные тефтели,123,23,2,2
Свинина постная в рукаве,163,19,7,2
бифидок кефир,53,3,2,4
Хлопья 5 злаков Доброе утро Увелка,377,14,4,68
Био йогурт 2.9% отруби и злаки Верховье,98,4,3,14
Печенье Зоологическое ХБФ,397,9,9,73
Творог зерненый 5% Минская марка,100,11,5,2
рахат лукум с фундуком Тимоша,396,2,7,81
Сыр моцарела 45% Mozzarella Paladin,243,18,18,2
сливки сухие сопьо крима,611,2,35,58
Шримп Ролл Burger King,230,7,10,28
Напиток сильногазированный Лимонад Караван,35,0,0,9
бад Омега-3 Доппельгерц актив Doppel herz,1 000,20,100,1
Сырок сладкий 4.5% с витаминами Детский Злагода,164,13,4,21
Дируны с маслом,119,2,6,9
свиной фарш,299,17,21,1
тортилья с курицей,304,15,13,31
Говяжье легкое тушеное,120,20,4,0
колбаса вареная Ермолинская Ермолино,202,8,18,2
Манты Домашние с говядиной,166,8,4,24
Заливной пирог с луком и яйцом,185,6,11,15
Вафли шоколадные Яшкино,540,6,31,60
Тыквенные семечки от Мартина,575,28,46,13
Творог Twarog chudy Delikate,81,11,3,2
Глазунья с помидорами,106,6,8,2
Суп борщ с курицей Главсуп,38,2,2,3
яйца жаренные на сливочном масле,200,25,19,0.47
слойка со сгущенкой,373,8,16,51
Шоколад с арахисом и карамелью Milka,546,9,33,51
макароны станичные спираль Макфа Makfa,366,14,1,74
Салат Сельдь под шубой Самое Время,169,3,14,9
Синабон с корицей Spar,357,2,16,50
зажарка морковь с луком Чумак,153,1,9,15
лайм,37,0.4,0.2,7
Толчонка,77,2,0.79,16
протеиновый коктейль Формула 1 шоколадный Herbalife Герболайф,400,65,25,81
колбаса отварная,182,10,16,0
батончик бомбар,234,30,8,10
Йогурт термостатный 4% Коровка из Кореновки,67,3,4,5
Мексиканская смесь 4 сезона,87,3,0.9,16
Мороженое 12% клубничное Каштан Хладик,296,3,20,26
Батончик изюм-яблоко-арахис Eat Me,455,9,21,59
Капуста молодая,50,7,0.08,5
сыр старый олендер,361,26,28,0
Голени куриные без кожи,155,23,7,0
Филе хека в яйце,163,12,7,11
Творог мягкий 5% Хуторок,90,8,5,2
хлеб карельский,240,7,1,47
Сыр сливочный 50% Тысяча озер,350,24,28,0
Капустные оладьи,119,6,4,15
Хлеб бородинский аппетитный Берестейский пекарь,208,7,0.5,44
протеиновый батончик карамель protein bar vitamin complex caramel Ironman,400,12,14,52
Печенье с абрикосовым вареньем,430,6,14,60
печенье с темной глазурью Юбилейное,482,7,22,63
Кальмары тушенные в сметане,147,13,10,3
Сухарики хрустящие багет со вкусом сметаны и сыра Кириешки,420,10,10,71
овсяные хлопья экстра №1 Новокаша,360,13,6,64
Био-йогурт вишня-черешня-асаи Верховье,100,4,3,14
Фаршмак с приправами Эконом маркет,197,17,14,0
хлебцы монастырские со сбором садовых трав Невская мельница КФ Сладкая жизнь,320,10,2,66
Жареные пирожки с творогом,280,0,0,0
желе cо вкусом вишни Аппетиссимо,57,0,0,14
Кетчуп к шашлыку Чумак,90,1,0.2,20
Десерт взбитый замороженный с ароматом ванилина в вафельном стаканчике 16% Нордар,249,3,15,25
Яичница по-французски (с хлебом),224,10,15,11
Завтрак сухой Шарики с какао Start!,355,8,3,71
Бисквитный торт с вареной сгущенкой,314,6,5,63
селедочка сельдь Аппетитная филе-кусочки в масле русское море,160,13,12,0
Печенье детское с железом Беллакт,435,8,9,80
Голец рыба,135,22,6,0
перепелка отварная,134,22,4,0
вафли тонкие с кокосовым кремом Яшкино,535,6,31,59
MOKATE 2in1 classic,520,5,26,65
круасан с абрикосом,330,5,12,51
устрицы,72,9,2,4
сыр Маасдам 45% Ламбер,308,23,24,0
Полуфабрикат котлета в панировке,233,9,13,20
Рис белый ароматный жасмин Мистраль,338,7,0.4,79
конвертик из лаваша (колбаса. сыр. кетчуп. майонез),243,11,13,20
яблоко джонаголд,57,0.3,0.1,11
Шоколад швейцарский темный с медово-миндальной нугой Toblerone,534,6,32,50
круасан с ванильным кремом 7 days,450,6,28,43
Чипсы картофельные со вкусом бекона Люкс,522,6,33,51
Мука кукурузная,365,7,3,88
Печенье Овсяное с шоколадной крошкой PEKARU,430,6,17,64
Птичье Молоко,230,6,13,23
Сухой завтрак Веселый Роджер Jolly Roger Start,352,8,4,71
Конфеты вкус чизкейк Марсианка,570,2,38,55
Конфеты Грильяж в шоколаде Коммунарка,520,6,27,64
хлеб шведский Атб,276,8,5,50
печенье медовое домашнее,389,6,16,57
Чай зелёный Нежный жасмин Принцесса Ява,0,0,0,0
Семечки жареные Молодёжные,580,21,53,5
сыр творожный для кулинарии Hohland (Хохланд),296,6,29,3
Деревенские сливки,519,2,58,2
курица тушеная с рисом,150,11,5,15
арахисовое печенье с протеином Solvie,288,33,13,9
Батон Европейский 10 хлебзавод,260,7,3,52
Круассан миндальный,342,7,8,59
Молочный шоколад с мягкой карамельной начинкой Milk Caramel O'Zera,470,5,24,58
Борщ с фрикадельками,70,4,3,4
Matrix протеиновый коктейль с коллагеном со вкусом соленая карамель Mote,329,53,8,14
Батончик кокосовый манго-маракуйя без сахара Coco Snaq Fabriq,393,7,29,9
Сыр плавленый ломтевой копчёный Брест-Литовск,248,19,18,2
Фрикадельки из индейки,149,20,7,4
тушенка свинная польская,224,14,17,4
Herbalife ОЯН,200,3,0.5,11
крендельки Бретцель немецкий с морской солью Krutzel,410,10,11,69
помидор жаренный,55,0,4,4
Батончик злаковый с молочным шоколадом и кокосом Corny Big Coconut,469,5,23,58
Отруби очищающие сибирские Сила трав ВкусВилл,356,11,1,73
Булка Рог с маком,343,11,5,68
Вафли ореховые Яшкино,478,6,25,57
йогурт питьевой вишня-чия Активия,71,3,2,11
Хлопья мультизерновые,350,11,2,74
Творожные оладьи,160,10,5,18
Рыбий жир из печени трески Fjord,800,0,92,0
куриный паштет Argeta,316,13,29,2
бабка со свининой,151,5,8,13
перловка сухая крупа Агрокультура,310,9,1,66
мороженое рожок черное печенье Бомба Шин-Лайн,304,3,22,34
пшено вареное на молоке,103,4,5,10
Жвачка кокос клубника Dirol,302,0.5,2,71
Куриные ножки без кожи,142,29,3,0.4
Мясные чипсы Green Line,330,55,12,0
котлета лососевая,183,22,10,0
Сардельки говяжьи по-атяшевски Атяшево,240,11,20,4
энергетический напиток энерджи original Dizzy,65,0,0,10
печенье с карамелью в молочном шоколаде и с крошками печенья Albeni Ulker,519,5,26,65
Печенье Имбирное с молотым имбирем и корицей Хлебный Спас,437,7,16,66
Пельмени с курицей Марьино,150,12,2,22
Молоко 2.5% Кунгурское,53,3,2,5
Безлактозное молоко #можно,60,3,3,5
шпик свиной с приправами,610,8,64,0.5
Курица с сыром,207,11,17,2
Коллаген Green Flash,330,48,0.1,35
Детский творог черника Вкусвилл,115,8,4,12
телапия жареная,126,21,4,2
хлеб козацький,206,7,1,41
Салат морковь. помидор. огурец. капуста без заправки,22,1,0.1,4
Фасоль стручковая быстро замороженная Своя линия Своя Лінія,34,2,0.3,4
Зефир восточный со вкусом лимона Экофуд,275,0.8,0,81
Курица на мангале,170,16,10,10
Сырный суп с красной рыбой,76,6,4,4
Творог обезжиренный Вкусвилл,90,18,0.3,3
Иван-чай с мятой Иван чай,0,0,0,0
Шоколад темный c фундуком Бабаевский,560,8,39,41
Сыр Аристей мягкий Фету 1М молочный,200,12,17,0
Йогурт нежирный Мультифрукт Злагода,79,3,0.5,15
Сыр норвежский с лососем и укропом Mlekpol,268,10,25,2
Рогалики студентские с посыпкой с кунжутом Киевхлеб,320,8,8,53
хрустящие хлебцы многозерновые Nordic,394,17,6,63
чай тесс шиповник яблоко,0,0,0,0
Булочка Пампушка,270,8,2,54
протеин ванильное мороженое Vanilla Ice Cream mutant whey,380,61,7,19
Напиток газированный лимонад крем-сода Дарида,40,0,0,10
Курица в рукаве (духовка),190,16,13,1
Ветчина для тостов Клинский,80,16,2,0
пиченье дени и ночи,117,2,5,16
напиток сокосодержащий томатный с экстрактом сельдерея томато-сельдерято Моя семья,12,0,0,3
помидоры по корейски,65,0.7,4,8
кофе нескафе 3в1 сливочный,72,0.25,3,12
Сыр Пармезан молодой ВкусВилл,358,32,26,0
йогурт питьевой 1% персик Ласковое лето Савушкин,67,3,1,12
Ряженка 2.5% Домик в Деревне,59,3,2,6
Вафельные конфеты в горьком шоколаде без сахара Победа вкуса,460,9,29,42
Скумбрия тушеная с луком и морковью,149,13,11,4
Бутерброды с огурцами,194,9,6,26
сырок творожный изюм Савушкин,201,10,9,20
Свинина тушеная с луком и соевым соусом,245,14,15,14
батон симферопольский ЦХ,265,8,2,52
Мороженое сливочное 10% Детское желание Дитяче бажання Рудь,180,4,10,20
Хлеб оксамит Одеський хлібозавод №4,280,11,4,50
Печенье постное,410,8,10,71
сердельки с сыром Зоря Днепра,147,10,10,4
Лапша по-флотски,270,7,9,22
чай травяной со вкусом и ароматом винограда festive grape Greenfield,1,0,0,0
Колбаса вареная из мяса птицы Мортаделлия Галерея вкуса,260,10,24,2
Шпроты в масле из балтийской кильки Fish House,200,12,17,0
Пирог со смородиной,101,7,2,13
Картошка с салом,198,2,15,15
злаковый батончик спелые ягоды клубника и клюква Fitness Nestle,370,6,6,71
мороженое белый полюс,300,3,22,22
Цукини на пару,21,3,0.4,2
